IDX	TRD	TIMESTAMP (MS)	VOLUME	PRICE
139	0	1534102518000	0.000000	6326.68
140	3	1534102519000	1.338814	6328.26
141	6	1534102520000	0.637448	6333.21
142	4	1534102521000	1.398366	6328.06
143	0	1534102522000	0.000000	6328.06
144	3	1534102523000	0.459520	6328.34
145	2	1534102524000	0.003002	6328.09
146	6	1534102525000	1.388873	6328.93
147	1	1534102526000	0.242380	6330.00
148	1	1534102527000	0.002630	6328.10
149	2	1534102528000	0.024846	6329.61
150	5	1534102529000	0.115016	6330.86
151	3	1534102530000	0.023471	6330.66
152	5	1534102531000	0.198048	6332.98
153	4	1534102532000	0.070622	6332.69
154	1	1534102533000	0.000677	6332.03
155	1	1534102534000	0.000508	6332.03
156	5	1534102535000	0.073777	6330.47
157	4	1534102536000	0.005916	6333.01
158	1	1534102537000	0.000190	6330.06
159	7	1534102538000	0.929726	6333.22
160	2	1534102539000	0.216967	6333.68
161	4	1534102540000	0.062567	6333.23
162	2	1534102541000	0.000140	6333.22
163	3	1534102542000	0.009283	6333.22
164	4	1534102543000	0.130793	6333.22
165	1	1534102544000	0.000026	6332.90
166	3	1534102545000	0.931678	6333.23
167	4	1534102546000	1.000025	6333.24
168	3	1534102547000	0.020642	6333.21
169	2	1534102548000	0.000014	6332.90
170	4	1534102549000	2.012902	6333.48
171	10	1534102550000	0.794327	6332.93
172	3	1534102551000	0.008257	6331.90
173	24	1534102552000	8.725204	6336.36
174	2	1534102553000	0.007782	6332.99
175	1	1534102554000	0.000001	6333.03
176	3	1534102555000	0.029380	6333.05
177	3	1534102556000	0.141001	6336.79
178	0	1534102557000	0.000000	6336.79
179	4	1534102558000	0.438416	6336.09
180	2	1534102559000	0.045968	6335.15
181	1	1534102560000	0.030000	6339.82
182	0	1534102561000	0.000000	6339.82
183	2	1534102562000	0.015521	6336.78
184	12	1534102563000	0.567863	6338.00
185	2	1534102564000	0.017705	6338.63
186	1	1534102565000	0.002168	6336.18
187	1	1534102566000	0.002401	6336.18
188	2	1534102567000	0.011801	6336.18
189	0	1534102568000	0.000000	6336.18
190	2	1534102569000	0.021350	6336.18
191	27	1534102570000	11.510636	6343.62
192	38	1534102571000	9.045208	6345.00
193	12	1534102572000	2.120941	6345.00
194	7	1534102573000	0.274362	6345.01
195	13	1534102574000	2.126600	6345.00
196	6	1534102575000	2.421460	6345.00
197	4	1534102576000	0.960729	6345.01
198	5	1534102577000	0.075321	6345.01
199	8	1534102578000	0.734104	6345.14
200	3	1534102579000	0.050068	6345.20
201	5	1534102580000	0.635701	6345.00
202	2	1534102581000	0.012698	6345.00
203	4	1534102582000	0.445788	6345.20
204	8	1534102583000	0.670647	6346.32
205	5	1534102584000	0.083668	6345.41
206	15	1534102585000	4.217558	6348.20
207	10	1534102586000	1.112598	6348.34
208	13	1534102587000	11.839906	6349.99
209	24	1534102588000	4.584821	6350.00
210	28	1534102589000	5.346857	6350.15
211	26	1534102590000	3.499747	6354.49
212	59	1534102591000	9.767109	6358.07
213	19	1534102592000	3.990591	6358.83
214	14	1534102593000	0.969496	6357.06
215	13	1534102594000	1.626285	6360.50
216	22	1534102595000	1.415916	6360.40
217	22	1534102596000	2.093463	6361.30
218	5	1534102597000	0.435109	6358.94
219	26	1534102598000	6.237806	6363.36
220	62	1534102599000	37.291689	6366.12
221	36	1534102600000	1.611769	6366.45
222	11	1534102601000	1.051716	6365.93
223	20	1534102602000	2.219051	6366.46
224	27	1534102603000	5.287381	6366.99
225	180	1534102604000	60.993043	6381.31
226	53	1534102605000	7.027666	6379.58
227	39	1534102606000	3.906555	6376.54
228	42	1534102607000	5.866107	6372.75
229	30	1534102608000	2.339596	6377.17
230	28	1534102609000	3.450594	6377.66
231	33	1534102610000	5.850003	6380.84
232	52	1534102611000	9.138019	6381.58
233	139	1534102612000	36.282320	6391.24
234	56	1534102613000	9.090191	6390.48
235	76	1534102614000	17.668587	6392.56
236	158	1534102615000	67.721607	6401.77
237	120	1534102616000	59.623669	6406.08
238	135	1534102617000	22.553621	6412.72
239	84	1534102618000	25.006386	6405.81
240	50	1534102619000	5.657803	6405.97
241	45	1534102620000	6.794221	6406.32
242	50	1534102621000	5.238759	6410.74
243	51	1534102622000	7.503139	6412.07
244	28	1534102623000	4.669393	6416.46
245	43	1534102624000	9.732594	6415.86
246	114	1534102625000	17.909512	6426.79
247	27	1534102626000	4.196436	6417.41
248	21	1534102627000	0.850816	6412.99
249	18	1534102628000	1.206632	6410.37
250	21	1534102629000	5.415252	6416.57
251	32	1534102630000	4.496224	6417.88
252	32	1534102631000	2.544492	6416.16
253	72	1534102632000	21.831488	6426.99
254	73	1534102633000	19.865367	6436.42
255	27	1534102634000	2.953868	6420.36
256	27	1534102635000	5.132980	6419.52
257	40	1534102636000	12.066792	6430.22
258	30	1534102637000	9.298145	6421.02
259	26	1534102638000	3.579782	6422.24
260	30	1534102639000	7.882377	6426.95
261	38	1534102640000	6.780303	6420.66
262	30	1534102641000	3.275209	6423.16
263	48	1534102642000	10.746506	6426.28
264	28	1534102643000	9.950851	6421.35
265	21	1534102644000	1.214974	6423.16
266	50	1534102645000	11.637232	6428.11
267	26	1534102646000	2.154196	6424.37
268	14	1534102647000	0.593038	6424.86
269	23	1534102648000	4.226698	6427.78
270	34	1534102649000	4.698777	6433.91
271	24	1534102650000	1.954882	6432.02
272	30	1534102651000	3.685372	6433.54
273	16	1534102652000	1.237331	6433.28
274	18	1534102653000	1.313965	6431.98
275	28	1534102654000	2.629160	6433.72
276	24	1534102655000	3.343836	6435.39
277	18	1534102656000	1.348360	6433.95
278	23	1534102657000	1.928937	6434.00
279	10	1534102658000	1.242558	6435.57
280	22	1534102659000	7.006238	6438.18
281	17	1534102660000	2.778687	6436.62
282	18	1534102661000	1.298702	6437.62
283	22	1534102662000	3.641307	6438.76
284	19	1534102663000	3.458579	6440.50
285	18	1534102664000	3.931934	6436.96
286	17	1534102665000	5.072540	6437.61
287	17	1534102666000	0.598249	6441.02
288	14	1534102667000	4.834580	6442.17
289	15	1534102668000	5.795340	6444.03
290	16	1534102669000	0.907993	6441.97
291	10	1534102670000	0.865762	6441.84
292	23	1534102671000	3.452780	6442.26
293	21	1534102672000	1.163220	6442.68
294	14	1534102673000	1.179388	6440.80
295	27	1534102674000	2.817043	6443.22
296	16	1534102675000	1.480742	6444.03
297	99	1534102676000	51.327341	6450.56
298	30	1534102677000	16.896363	6451.94
299	25	1534102678000	2.606307	6453.69
300	115	1534102679000	31.638146	6466.51
301	44	1534102680000	12.663034	6463.96
302	31	1534102681000	4.119627	6459.81
303	31	1534102682000	3.827267	6462.41
304	36	1534102683000	9.095903	6457.87
305	25	1534102684000	2.567893	6458.33
306	19	1534102685000	2.220122	6456.83
307	12	1534102686000	1.651033	6456.69
308	14	1534102687000	0.621882	6456.75
309	14	1534102688000	1.424904	6455.94
310	18	1534102689000	3.049055	6455.65
311	15	1534102690000	0.745518	6454.85
312	7	1534102691000	0.113752	6454.95
313	21	1534102692000	14.210624	6453.12
314	5	1534102693000	0.050163	6453.83
315	13	1534102694000	1.440763	6451.62
316	16	1534102695000	3.232556	6449.47
317	13	1534102696000	2.666701	6447.84
318	11	1534102697000	1.739051	6447.82
319	12	1534102698000	2.979996	6446.94
320	8	1534102699000	3.829573	6448.56
321	17	1534102700000	5.618630	6446.66
322	12	1534102701000	2.961830	6446.56
323	29	1534102702000	12.704851	6446.57
324	19	1534102703000	5.548631	6446.38
325	40	1534102704000	9.783361	6443.61
326	22	1534102705000	2.102672	6442.09
327	13	1534102706000	2.900622	6440.47
328	19	1534102707000	3.827276	6439.57
329	15	1534102708000	3.553749	6439.68
330	10	1534102709000	0.210820	6437.63
331	26	1534102710000	5.453641	6435.54
332	7	1534102711000	2.263288	6435.67
333	8	1534102712000	0.351567	6435.38
334	23	1534102713000	4.592663	6434.80
335	14	1534102714000	3.290415	6441.28
336	36	1534102715000	31.250175	6447.71
337	14	1534102716000	5.553972	6442.65
338	5	1534102717000	0.203153	6441.28
339	8	1534102718000	2.110496	6441.09
340	5	1534102719000	2.798952	6440.93
341	18	1534102720000	2.067349	6442.92
342	8	1534102721000	1.398501	6444.58
343	27	1534102722000	2.922439	6442.77
344	10	1534102723000	1.691483	6444.21
345	11	1534102724000	4.672486	6437.74
346	16	1534102725000	1.986299	6440.20
347	11	1534102726000	0.918865	6439.93
348	6	1534102727000	0.766055	6437.42
349	7	1534102728000	0.461520	6437.18
350	3	1534102729000	0.380652	6439.28
351	7	1534102730000	0.396022	6439.40
352	8	1534102731000	0.398447	6439.55
353	11	1534102732000	2.151645	6440.57
354	7	1534102733000	1.004171	6437.19
355	7	1534102734000	0.135973	6437.20
356	15	1534102735000	4.702672	6442.51
357	3	1534102736000	0.121131	6440.00
358	4	1534102737000	0.600962	6439.98
359	2	1534102738000	0.251267	6437.16
360	9	1534102739000	0.447900	6440.05
361	11	1534102740000	2.182644	6437.95
362	4	1534102741000	0.234959	6440.98
363	9	1534102742000	1.502224	6437.14
364	7	1534102743000	1.688635	6440.00
365	7	1534102744000	0.593219	6437.71
366	3	1534102745000	0.050831	6434.82
367	6	1534102746000	2.309180	6437.03
368	3	1534102747000	0.060496	6439.89
369	10	1534102748000	2.390164	6439.53
370	9	1534102749000	1.028961	6439.27
371	6	1534102750000	0.062772	6436.35
372	2	1534102751000	0.001967	6433.09
373	11	1534102752000	1.285180	6432.53
374	5	1534102753000	0.461545	6432.88
375	18	1534102754000	3.820119	6430.79
376	4	1534102755000	0.157314	6430.48
377	5	1534102756000	0.263069	6426.96
378	8	1534102757000	0.781194	6426.38
379	4	1534102758000	0.684272	6429.73
380	8	1534102759000	1.618272	6426.73
381	6	1534102760000	0.896522	6426.11
382	8	1534102761000	2.105264	6423.23
383	8	1534102762000	0.383116	6421.68
384	14	1534102763000	3.967048	6425.92
385	46	1534102764000	28.919386	6417.14
386	8	1534102765000	1.396383	6417.81
387	12	1534102766000	0.725127	6421.47
388	12	1534102767000	1.048646	6416.57
389	12	1534102768000	3.166703	6420.97
390	6	1534102769000	0.531700	6419.19
391	14	1534102770000	12.517192	6416.36
392	3	1534102771000	0.148718	6420.66
393	8	1534102772000	1.013985	6421.56
394	16	1534102773000	1.475245	6420.97
395	3	1534102774000	0.054334	6420.68
396	9	1534102775000	1.142227	6425.29
397	25	1534102776000	1.847800	6421.34
398	6	1534102777000	0.844092	6421.98
399	14	1534102778000	1.288560	6419.73
400	9	1534102779000	0.808519	6419.91
401	11	1534102780000	2.573607	6419.54
402	22	1534102781000	4.112650	6417.15
403	17	1534102782000	2.074191	6411.06
404	16	1534102783000	2.991885	6413.84
405	11	1534102784000	2.084288	6411.84
406	4	1534102785000	0.012255	6411.95
407	9	1534102786000	1.535663	6410.57
408	1	1534102787000	0.017392	6416.64
409	8	1534102788000	1.580043	6418.14
410	9	1534102789000	0.417969	6412.08
411	7	1534102790000	0.683549	6418.60
412	3	1534102791000	0.002392	6411.74
413	4	1534102792000	0.417189	6417.16
414	3	1534102793000	0.069957	6411.84
415	3	1534102794000	0.418147	6413.52
416	1	1534102795000	0.105218	6417.99
417	2	1534102796000	0.093869	6412.04
418	11	1534102797000	0.557674	6414.85
419	6	1534102798000	0.546423	6413.64
420	11	1534102799000	0.632293	6412.07
421	10	1534102800000	0.779585	6412.03
422	10	1534102801000	0.972686	6412.05
423	11	1534102802000	0.888772	6412.07
424	6	1534102803000	0.074720	6411.83
425	5	1534102804000	0.259118	6411.71
426	3	1534102805000	0.102985	6412.07
427	6	1534102806000	0.261683	6411.73
428	9	1534102807000	0.596419	6411.70
429	5	1534102808000	2.335607	6410.47
430	4	1534102809000	0.510043	6410.23
431	13	1534102810000	4.850412	6409.77
432	16	1534102811000	1.552162	6408.20
433	5	1534102812000	0.259508	6409.70
434	0	1534102813000	0.000000	6409.70
435	4	1534102814000	0.225684	6409.98
436	2	1534102815000	0.266047	6409.55
437	0	1534102816000	0.000000	6409.55
438	15	1534102817000	5.583282	6411.64
439	11	1534102818000	0.976007	6412.08
440	25	1534102819000	5.782814	6406.43
441	4	1534102820000	0.458925	6409.89
442	3	1534102821000	0.004035	6408.70
443	2	1534102822000	0.054117	6409.99
444	7	1534102823000	0.453132	6409.74
445	7	1534102824000	0.365526	6408.74
446	5	1534102825000	0.134517	6409.28
447	6	1534102826000	0.097451	6409.97
448	9	1534102827000	1.132092	6408.85
449	5	1534102828000	1.437917	6408.88
450	4	1534102829000	0.091385	6408.59
451	2	1534102830000	0.159694	6409.97
452	31	1534102831000	21.165167	6400.85
453	28	1534102832000	5.804560	6400.00
454	17	1534102833000	7.745210	6400.00
455	12	1534102834000	4.130741	6399.90
456	9	1534102835000	0.237818	6399.99
457	5	1534102836000	0.413856	6399.68
458	6	1534102837000	1.261584	6399.66
459	5	1534102838000	0.686268	6400.00
460	7	1534102839000	1.260072	6399.67
461	3	1534102840000	0.150028	6400.00
462	7	1534102841000	0.225329	6399.15
463	16	1534102842000	1.351275	6396.40
464	2	1534102843000	0.037869	6397.33
465	9	1534102844000	6.316940	6399.93
466	5	1534102845000	0.192038	6399.98
467	5	1534102846000	0.179178	6397.10
468	4	1534102847000	0.240393	6397.28
469	9	1534102848000	1.322651	6395.87
470	2	1534102849000	0.001496	6399.85
471	11	1534102850000	0.055514	6398.75
472	1	1534102851000	0.000001	6395.05
473	3	1534102852000	0.046574	6399.63
474	5	1534102853000	1.625421	6399.98
475	3	1534102854000	0.016466	6399.42
476	5	1534102855000	0.162254	6395.18
477	6	1534102856000	0.370236	6395.63
478	2	1534102857000	0.126001	6395.14
479	3	1534102858000	0.032726	6396.89
480	12	1534102859000	0.318035	6395.67
481	5	1534102860000	0.542997	6395.00
482	7	1534102861000	0.462458	6394.08
483	12	1534102862000	0.280101	6392.64
484	6	1534102863000	0.381362	6392.88
485	2	1534102864000	0.275187	6394.85
486	4	1534102865000	0.046710	6391.37
487	11	1534102866000	2.046288	6391.84
488	16	1534102867000	1.652374	6389.62
489	17	1534102868000	1.229822	6389.93
490	6	1534102869000	1.857816	6389.95
491	5	1534102870000	0.291475	6390.00
492	13	1534102871000	5.148333	6388.34
493	12	1534102872000	0.657317	6388.94
494	7	1534102873000	1.221896	6390.00
495	6	1534102874000	0.399610	6389.99
496	17	1534102875000	7.975025	6387.40
497	21	1534102876000	20.277659	6386.67
498	13	1534102877000	1.860026	6389.97
499	5	1534102878000	0.807927	6388.58
500	12	1534102879000	6.052568	6391.21
501	5	1534102880000	0.140998	6392.41
502	6	1534102881000	0.987987	6390.67
503	6	1534102882000	0.310985	6390.02
504	3	1534102883000	0.611750	6392.73
505	3	1534102884000	0.812739	6393.35
506	10	1534102885000	1.530338	6390.08
507	9	1534102886000	0.930846	6390.02
508	3	1534102887000	0.251025	6391.37
509	9	1534102888000	1.254733	6394.38
510	6	1534102889000	0.429085	6393.13
511	3	1534102890000	0.581601	6391.98
512	4	1534102891000	0.301101	6393.34
513	9	1534102892000	0.579702	6394.49
514	12	1534102893000	0.974318	6397.86
515	9	1534102894000	1.690023	6396.49
516	4	1534102895000	0.261425	6395.24
517	6	1534102896000	0.023613	6395.77
518	1	1534102897000	0.100015	6398.97
519	11	1534102898000	1.718284	6397.45
520	16	1534102899000	5.041355	6399.32
521	4	1534102900000	0.660167	6399.61
522	16	1534102901000	6.566498	6399.98
523	8	1534102902000	4.480226	6399.98
524	10	1534102903000	2.546627	6399.18
525	3	1534102904000	2.468305	6400.00
526	9	1534102905000	8.494223	6400.00
527	6	1534102906000	5.799128	6400.00
528	2	1534102907000	1.047159	6400.00
529	4	1534102908000	0.064382	6401.49
530	6	1534102909000	0.198445	6401.25
531	4	1534102910000	0.043860	6401.56
532	3	1534102911000	0.103102	6402.01
533	8	1534102912000	0.906575	6405.56
534	4	1534102913000	1.034987	6407.16
535	14	1534102914000	1.703182	6401.96
536	11	1534102915000	1.626555	6400.31
537	7	1534102916000	0.536650	6399.12
538	9	1534102917000	0.723031	6398.10
539	1	1534102918000	0.095872	6402.89
540	2	1534102919000	0.068561	6402.84
541	4	1534102920000	0.299193	6399.93
542	4	1534102921000	0.142804	6401.89
543	8	1534102922000	0.349773	6399.97
544	14	1534102923000	1.513968	6401.13
545	4	1534102924000	0.156282	6403.07
546	11	1534102925000	1.143614	6404.74
547	3	1534102926000	0.111104	6403.10
548	4	1534102927000	0.049817	6403.10
549	6	1534102928000	0.091248	6403.11
550	4	1534102929000	0.100667	6407.01
551	19	1534102930000	7.010040	6403.09
552	1	1534102931000	0.000374	6403.08
553	2	1534102932000	0.055176	6403.12
554	13	1534102933000	5.672544	6403.18
555	7	1534102934000	0.760727	6403.01
556	20	1534102935000	14.277528	6404.44
557	1	1534102936000	0.000088	6400.01
558	12	1534102937000	1.787410	6399.95
559	8	1534102938000	0.649021	6398.53
560	5	1534102939000	0.572192	6397.24
561	5	1534102940000	0.834792	6397.34
562	11	1534102941000	0.396935	6397.02
563	3	1534102942000	0.011982	6397.59
564	5	1534102943000	0.575045	6395.35
