IDX	TRD	TIMESTAMP	VOLUME	PRICE
139	2	1534711610000	0.123180	6421.42
140	3	1534711611000	3.113059	6422.05
141	2	1534711612000	0.002556	6422.36
142	4	1534711613000	3.531394	6422.04
143	1	1534711614000	0.000001	6422.36
144	6	1534711615000	3.651591	6422.35
145	1	1534711616000	0.068601	6421.42
146	2	1534711617000	0.037058	6422.13
147	6	1534711618000	5.164151	6421.78
148	4	1534711619000	2.427407	6422.35
149	1	1534711620000	0.001600	6422.35
150	4	1534711621000	4.424132	6421.51
151	0	1534711622000	0.000000	6421.51
152	2	1534711623000	0.710870	6421.71
153	0	1534711624000	0.000000	6421.71
154	4	1534711625000	0.318199	6422.35
155	1	1534711626000	0.004072	6421.43
156	5	1534711627000	4.864233	6421.59
157	2	1534711628000	0.029074	6421.42
158	0	1534711629000	0.000000	6421.42
159	7	1534711630000	1.058251	6421.74
160	6	1534711631000	1.100712	6422.43
161	5	1534711632000	0.356473	6422.46
162	3	1534711633000	0.276152	6422.46
163	1	1534711634000	0.044421	6422.36
164	4	1534711635000	1.025850	6422.90
165	4	1534711636000	0.779475	6422.91
166	1	1534711637000	0.000242	6423.48
167	4	1534711638000	0.397462	6423.46
168	2	1534711639000	0.005247	6423.50
169	4	1534711640000	0.300801	6423.49
170	2	1534711641000	2.333432	6425.00
171	4	1534711642000	0.285266	6424.04
172	2	1534711643000	0.002566	6423.50
173	2	1534711644000	0.018635	6423.51
174	1	1534711645000	0.013375	6423.51
175	4	1534711646000	0.107623	6423.51
176	6	1534711647000	0.763948	6423.52
177	2	1534711648000	1.347307	6423.51
178	4	1534711649000	0.057333	6423.32
179	3	1534711650000	0.038595	6422.46
180	2	1534711651000	0.407505	6423.13
181	6	1534711652000	0.960700	6422.94
182	0	1534711653000	0.000000	6422.94
183	1	1534711654000	0.028056	6422.36
184	2	1534711655000	1.693158	6423.48
185	3	1534711656000	2.209081	6422.77
186	6	1534711657000	1.850295	6422.41
187	1	1534711658000	0.055000	6422.36
188	6	1534711659000	4.778611	6424.04
189	2	1534711660000	0.037408	6423.51
190	6	1534711661000	3.605303	6423.79
191	5	1534711662000	0.210713	6424.99
192	3	1534711663000	0.601558	6424.82
193	0	1534711664000	0.000000	6424.82
194	3	1534711665000	0.454160	6421.66
195	2	1534711666000	0.014039	6421.44
196	5	1534711667000	2.789388	6421.57
197	1	1534711668000	0.000014	6422.00
198	4	1534711669000	1.813863	6421.49
199	2	1534711670000	0.015386	6421.44
200	1	1534711671000	0.009352	6421.45
201	13	1534711672000	4.299949	6420.61
202	3	1534711673000	0.029352	6420.49
203	1	1534711674000	0.000006	6421.44
204	1	1534711675000	0.000004	6420.44
205	7	1534711676000	3.725860	6420.19
206	6	1534711677000	3.182765	6420.48
207	2	1534711678000	0.099299	6420.00
208	5	1534711679000	0.510879	6420.31
209	3	1534711680000	1.194133	6421.79
210	3	1534711681000	0.011232	6421.73
211	2	1534711682000	0.006352	6421.73
212	1	1534711683000	0.000001	6421.73
213	2	1534711684000	0.158028	6421.73
214	4	1534711685000	1.035567	6421.99
215	0	1534711686000	0.000000	6421.99
216	0	1534711687000	0.000000	6421.99
217	2	1534711688000	1.841673	6422.50
218	0	1534711689000	0.000000	6422.50
219	3	1534711690000	3.185842	6422.56
220	3	1534711691000	4.576917	6422.10
221	0	1534711692000	0.000000	6422.10
